titre,acronym,rankc
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,B
Australasian Information Security Conference,AISC,C
Australasia Conference on Information Security and Privacy,AISP,A
International Conference on Analysis of Images Social Networks and Texts,AIST,A
International Conference on Advances in Intelligent Systems: Theory and Applications,AISTA,B
International Conference on Artificial Intelligence and Statistics,AISTATS,A
Workshop on Australasian Information Security Data Mining and Web Intelligence and Software Internationalisation,AISW,A
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),AISW-PET,A
Advances in the Theory of Computing,AITC,C
Australian Knowledge Acquisition Workshop,AKAW,A
Workshop on Algorithm Engineering and Experiments,ALENEX,A
Algorithms and Experiments,ALEX,B
International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,C
SIAM Workshop on Algorithms for Listing Counting and Enumeration,ALICE,C
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,C
International Conference on Algebraic and Logic Programming,ALP,B
International Conference on Advanced Language Processing and Web Information Technology,ALPIT,C
Algorithmic Learning Theory,ALT,B
Australasian Language Technology Workshop,ALTA,C
Algebraic Methodology and Software Technology,AMAST,C
Americas Conference on Information Systems,AMCIS,A
European Conference on Ambient Intelligence,AmI,C
American Medical Informatics Annual Fall Symposium,AMIA,A
IEEE Symposium on Advanced Management of Information for Globalized Enterprises,AMIGE,C
Ambient Intelligence Developments,Aml.d,C
Asian International Mobile Computing Conference,AMOC,C
Asia International Conference on Modelling and Simulation,AMS,C
Conference of the Association for Machine Translation in the Americas,AMTA,A
Workshop on Analytic Algorithmics and Combinatorics,ANALCO,B
Conference on Artificial Neural Networks and Expert systems,ANNES,C
Artificial Neural Networks in Engineering Conference,ANNIE,B
Annual Simulation Symposium,ANSS,B
 International Conference on Ambient Systems Networks and Technologies,ANT,
International Workshop on Ant Colony,ANTS,B
Australian and New Zealand Academy of Management Conference,ANZAM,A
Australian and New Zealand Association of Planning schools,ANZAPS,B
Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference,ANZAScA,B
Australian and New Zealand Intelligent Information Systems Conference,ANZIIS,A
Australian and New Zealand Marketing Academy Conference,ANZMAC,A
The Modelling and Simulation Society of Australia and New Zealand Meeting,ANZMODS,A
Aspect-Orientation Asia,AO-Asia,C
International Conference on Probabilistic Combinatorial and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms),AofA,C
Internet Research,AOIR,C
Agent-Oriented Information Systems Workshop,AOIS,B
Workshop on Aspect-Oriented Modelling,AOM,C
Aspect-Oriented Software Development,AOSD,A
Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,C
Asia Pacific Association for Medical Informatics Conference,APAMI,B
Asia-Pacific Bioinformatics Conference,APBC,B
Asia Pacific Conference on Communications,APCC,C
Asia-Pacific Conference on Conceptual Modelling,APCCM,C
Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages),APCHDL,C
Asia-Pacific Computer Human Interaction Conference,APCHI,C
Asian-Pacific Conference on Computational Mechanics,APCOM,A
Computer Applications in The Mineral Industries,APCOM,A
Application of Computers and Operations Research in the Minerals Industries,APCOMin,A
Asia Pacific Decision Science Institute Conference,APDSI,C
Applied Perception in Graphics and Visualization,APGV,C
Asia Pacific Industrial Engineering and Management Systems and Chinese Institute of Industrial Engineers Conference,APIEMS CIIEC,C
ASIAN Symposium on Programming Languages and Systems,APLAS,B
Asia-Pacific Network Operations and Management Symposium,APNOMS,C
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,C
Joint Conference on Declarative Programming APPIA-GULP-PRODE,APPIA/GULP/PRODE,C
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,A
Asia Pacific Research Symposium on Accounting Information Systems,APRSAIS,C
Australasian Conference on Parallel and Real-Time Systems,APRTS,A
Asia-Pacific Services Computing Conference,APSCC,C
Asia-Pacific Software Engineering Conference,APSEC,C
Structural Engineering and Construction Conference,APSEC-EASEC,B
Web and Big Data,APWEB,C
Symposium on Assessment of Quality S/W Dev Tools,AQSDT,C
National Conference of the Australian Robot Association,ARA,A
Workshop on Approximation and Randomization Algorithms in Communication Networks,ARACNE,C
Association of Researchers in Construction Management Annual Conference,ARCOM,A
International Conference on Automation Robotics and Control Systems,ARCS,C
International Conference on Availability Reliability and Security,ARES,B
IEEE Symposium on Computer Arithmetic,ARITH,C
International Symposium on Artificial Life and Robotics,AROB,C
Australasian Remote Sensing Conference,ARSC,A
Australasian Remote Sensing Conference and Photogrammetry Conference,ARSPC,C
Active and Real-Time Database Systems,ARTDB,C
ArtsIT Interactivity & Game Creation (was International Conference on Arts and Technology),ArtsIT,C
Advanced Research in VLSI,ARVLSI,C
Chicago ASA Data Mining Conference- A Hard Look at DM,ASADM,B
Argentine Symposium on Artificial Intelligence,ASAI,C
International Conference on Application-specific Systems Architectures and Processors,ASAP,A
IASTED International Conference on Artificial Intelligence and Soft Computing,ASC,C
ASCCS International Conference on Steel-Concrete Composite and Hybrid Structures,ASCCS,A
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,A
Asian Symposium on Computer Mathematics,ASCM,C
Automated Software Engineering Conference,ASE,A*
ASEE Annual Conference and Exposition,ASEE,B
ASEE Global Colloquium of Engineering Education,ASEE,B
American Society for Heating Refrigeration and Air Conditioning,ASHRAE,A
Asia Conference on Information Computer and Communications Security,AsiaCCS,A
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A
Asian Computing Science Conference,Asian Computing Science Conference,B
Annual conference of American Society for Information Science and Technology,ASIS&T,A
Australian Symposium on Information Visualisation,ASIV,A
IASTED International Conference on Applied Simulation and Modelling,ASM,C
International Workshop on Abstract State Machines,ASM(W),C
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,B
National Conference of The Australian Society for Operations Research,ASOR,C
Asia and South Pacific Design Automation Conference,ASPDAC,C
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*
ISCA Tutorial and Research Workshop Automatic Speech Recognition,ASR,C
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,C
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,A
Automation of Software Test,AST,C
Australian Software Engineering Conference,ASWEC,B
International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,C
Workshop on Algorithmic Approaches for Transportation Modelling Optimization and Systems,ATMOS,C
Australasian Transport Research Forum,ATRF,A
International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,B
International Symposium on Automated Technology for Verification and Analysis,ATVA,B
Australian Universities Building Education Association Annual Conference,AUBEA,B
Workshop on Ad Hoc and Ubiquitous computing,AUC,C
Apple University Consortium Academic and Developers Conference,AUCADC,C
Australasian Cognitive Science Society Conference,AuCSS,A
Australasian User Interface Conference,AUIC,A
Australasian Urban and Regional Information Systems Association Conference,AURISA,A
Australasian Refinement Workshop,AuRW,A
Australian Joint Conference on Artificial Intelligence,AusAI,A
Australian Data Mining Conference,AusDM,C
Australasian Symposium on Grid Computing and e-Research (now AusPDC),AusGrid,A
AUSIMM Orebody Modelling and Strategic Mine Planning Conference,AUSIMM,A
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,C
Australian World Wide Web Conference,AusWeb,A
Australian Women in IT Conference,AusWIT,A
Australian UNIX Users Group National Conference,AUUG,A
Advanced Visual Interfaces,AVI,B
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,B
International Atlantic Web Intelligence Conference,AWIC,C
Australasian Workshop on Combinatorial Algorithms,AWOCA,A
Australian Workshop on Requirements Engineering,AWRE,A
Australian Workshop on Software Architecture,AWSA,A
Argentine Workshop on Theoretical Informatics,AWTI,B
IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems,BASYS,B
IFIP International Conference on Broadband Communications,BC,C
British Computer Society Formal Aspects of Computing Science Specialist Group Workshop,BCS-FMW,C
British Colloquium for Theoretical Computer Science,BCTCS,C
IEEE/ACM International Conference on Big Data Computing Applications and Technologies,BDCAT,C
Bled Electronic Commerce Conference,BECC,B
Built Environment Education Conference,BEECON,B
International Workshop on Boolean Functions: Cryptography and Applications,BFCA,C
IEEE Bioinformatics and Bioengineering,BIBE,C
IFIP Conference on Biologically Inspired Collaborative Computing,BICC,C
IEEE International Conference on Big Data,IEEE International Conference on Big Data,B
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,B
Bioinformatics Visualization,BioViz,C
International Conference on Business Information Systems,BIS,B
British Machine Vision Conference,BMVC,A
British National Conference on Databases,BNCOD,B
International Workshop on Business Process Design,BPD,C
International Workshop on Business Process Intelligence,BPI,C
International Conference in Business Process Management,BPM,A
International Workshop on Business Process Modelling Development and Support,BPMDS,C
International Conference of Broadband Communication Information Technology and Biomedical Applications,broadcom,C
International Conference on Broadband Communications Networks and Systems,Broadnets,C
Body Sensor Networks,BSN,C
Datenbanksysteme für Business Technologie und Web,BTW,A
International Postgraduate Research Conference (Research Institute for the Built and Human Environment (BuHu)),BuHu IPGRC,C
ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,A
Visualisation in Built and Rural Environments,BuiltViz,C
International Workshop on C# and .NET Technologies,International Workshop on C# and .NET Technologies,C
International Conference on Creating Connecting and Collaborating through Computing,International Conference on Creating Connecting and Collaborating through Computing,C
CAADFutures Biennial conference,CAADFutures,A
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,C
Canadian Artificial Intelligence Conference,CAAI,B
Workshop on Combinatorial and Algorithmic Aspects of Networking,CAAN,B
IEEE/IFAC Computer Aided Control System Design,CACSD,B
IEEE/IFAC Joint Symposium on Intelligent Control,CACSD,B
International Conference on Automated Deduction,CADE,A
Conference on Artificial Intelligence for Applications,CAIA,B
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,C
International Conference on Computer Analysis of Images and Patterns,CAIP,C
International Conference on Advanced Information Systems Engineering,CaiSE,A
Conference of the Australian Institutes of Transport Research,CAITR,C
Computer Animation Information Visualisation and Digital Effects,CAivDE,C
Conference on Algebra and Coalgebra in Computer Science,CALCO,B
Centre for Asian and Middle Eastern Architecture conference,CAMEA,A
Canadian Discrete and Algorithmic Mathematics Conference,CanaDAM,C
International Conference on Cryptology and Network Security,CANS,B
Smart Card Research and Advanced Application Conference,CARDIS,C
Computer Algebra in Scientific Computing,CASC,B
International Conference on Compilers Architecture and Synthesis for Embedded Systems,CASES,B
International Conference on Computers and their Applications,CATA,A
Cultural Attitudes towards Technology and Communications,CATAC,B
IASTED International Conference on Computers and Advanced Technology in Education ,CATE,C
Computing: The Australasian Theory Symposium,CATS,A
Computer Aided Verification,CAV,A*
Construction Applications of Virtual Reality International Conference,CAVR,C
IEEE Conference on Electronic Commerce Technology and Enterprise Computing e_Commerce and e-Services ,CBI (was CEC/EEE),B
International Symposium Component-Based Software Engineering,CBSE,B
ACM Creativity and Cognition,CC,A
International Conference on Compiler Construction,CC,B
IEEE International Conference on Control Applications,CCA,B
International Conference on Computability and Complexity in Analysis,CCA,C
IEEE Conference on Computational Complexity,CCC,A
Canadian Conference on Computational Geometry,CCCG,C
Canadian Conference on Electrical and Computer Engineering,CCECE,C
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,A
Workshop on Computational and Conformal Geometry,CCG,C
IEEE International Symposium on Cluster Cloud and Grid Computing,CCGRID,B
International Command and Control Research and Technology Symposium ,CCRTS,C
ACM Conference on Computer and Communications Security,CCS,A*
Journal of Computing Science in Colleges (Conference proceedings),CCSC,B
Intelligent Multimedia Computing and Communications Technologies and Applications of the Future ,CCTAF,C
IEEE Computer Communications Workshop,CCW,B
IFIP/ACM Working Conference on Component Deployment,CD,B
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,C
Constraint Databases and Applications,CDB,C
IEEE Conference on Decision and Control,CDC,A
Cooperative Design Visualization and Engineering,CDVE,C
International Conference on Email and Anti-Spam,CEAS,B
IEEE Conference on Electronic Commerce Technology (merger of CEC and EEE),CEC,C
IEEE Congress on Evolutionary Computation,CEC,B
Computing in Education Group of Victoria Conference,CEG,C
CENTERIS - Conference on ENTERprise Information Systems,CENTERIS,
International Workshop on Comparative Evaluation in Requirements Engineering,CERE,C
Information Security Symposium,CERIAS,A
International Conference on Cybercrime Forensics Education and Training,CFET,C
Conference on Computers Freedom and Privacy,CFP,C
Workshop on Computational Geometry and Applications,CGA,C
CGAL User Workshop,CGAL,C
Computer Graphics International,CGI,C
Joint International Conference on CyberGames and Interactive Entertainment,CGIE,C
International Conference Computer Graphics Imaging and Visualization,CGIV,C
International Symposium on Code Generation and Optimization,CGO,A
Conference on Graph Theory and Discrete Geometry,CGTDG,C
Annual Fall Workshop on Computational Geometry,CGW,C
Workshop on Cryptographic Hardware and Embedded Systems,CHES,A
International Conference on Human Factors in Computing Systems,CHI,A*
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,A*
Southwestern Conference on Pattern Languages of Programs,ChiliPLoP,C
ChinaGrid Annual Conference,ChinaGrid,C
International Conference on Computer-Human Interaction Research and Applications,CHIRA,C
Cultural Heritage Knowledge Visualisation,CHKV,C
International Conference on Implementation and Application of Automata,CIAA,C
International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,C
IberoAmerican Congress on Pattern Recognition,CIARP,C
International Council for Research and Innovation in Building and Construction (CIB) Meetings Workshops Symposia Conferences,CIB,A
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,C
International Conference on Communications in Computing,CIC,C
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,C
Conference on Intelligent Computer Mathematics,CICM,C
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,C
Conference on Innovative Data Systems Research,CIDR,A
Computability in Europe: Logic and Theory of Algorithms,CiE,C
Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques,CIEAEM,C
IEEE International Conference on Intelligence for Homeland Security and Personal Safety,CIHSPS,C
Conference on Construction Partnering,CII-HK,C
IEEE Symposium on Computational Intelligence in Image and Signal Processing,CIISP,C
ACM International Conference on Information and Knowledge Management,CIKM,A
International Workshop on Combinations of Intelligent Methods and Applications,CIMA,C
International Conference on Computational Intelligence for Modelling Control and Automation,CIMCA,C
IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,CIMSA,C
International Conference on Computational Intelligence Robotics and Autonomous Systems,CIRAS,C
International Symposium on Circuits and Systems,CIRSYS,C
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,C
International Conference on Computational Intelligence and Security,CIS,A
International Conference on Computational Intelligence and Software Engineering,CISE,C
International Conference on Computer Information Systems and Industrial Management Applications,CISIM,C
Computational Intelligence in Security for Information Systems,CISIS,A
International Conference on Complex Intelligent and Software Intensive Systems,CISIS,C
Conference on Information Sciences and Systems,CISS,A
International Conference Imaging Science Systems and Technology,CISST,C
Iberian Conference on Information Systems and Technologies,CISTI,B
Conference on Information Science Technology and Management,CISTM,B
IEEE International Conference on Computer and Information Technology,CIT,C
Complexity and information-theoretic approaches to biology,CITB,B
Construction in the Twenty-first Century Conferences,CITC,B
International Conference on Civil Structural and Environmental Engineering Computing,CIVIL-COMP,A
Challenges of Large Applications in Distributed Environments,CLADE,C
Latin American Conference on Informatics,CLEI,C
International Conference on Cloud Computing and Services Science,CLOSER,C
IEEE International Conference on Cloud Computing,IEEE International Conference on Cloud Computing,B
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,C
IEEE International Conference on Cluster Computing,IEEE International Conference on Cluster Computing,B
Construction Management and Economics Conference,CME 25,A
Joint Working Conference on Secure Information Networks: Communications and Multimedia Security,CMS,C
Coordinated and Multiple Views in Exploratory Visualization,CMV,C
International Science Conference on Computer Networks,CN,C
IEEE International Workshop on Cellular Nanoscale Networks and Applications,CNNA,C
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B
1st International Conference on Building Energy and Environment,COBEE,
RICS conference,COBRA,A
Conference on Combinatorial Optimization and Applications,COCOA,C
International Conference on Computing and Combinatorics,COCOON,A
International Symposium on Cooperative Database Systems for Advanced Applications,CODAS,C
Committee on Data for Science and Technology,CODATA,C
International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN changed in 2003),CODES+ISSS,C
International Conference on Control Decision and Information Technologies,CoDIT,C
Conference on Games (was Computational Intelligence and Games CIG),COG,C
International Cognitive Robotics Conference,COGROBO,B
Annual Meeting of the Cognitive Science Society,CogSci,B
IEEE Conference on Cognitive and Computational Aspects of Situation Management ,CogSIMA,A
International Workshop on Coordination Organizations Institutions Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020),COINE,C
International Conference on Computational Linguistics,COLING,B
International Conference on Collaborative Computing: Networks Applications and Worksharing,CollaborateCom,C
Collaborative Electronic Commerce Technology and Research,CollECTeR,B
Conference on Learning Theory,COLT,A*
International Conference on Management of Data,COMAD,A
Franco-Canadian Workshop on Combinatorial Algorithms,ComAI,C
CombinaTexas: Combinatorics in the South-Central U.S.,Combina Texas,C
Symposium on Logical Formalizations of Commonsense Reasoning,COMMONSENSE,B
International Symposium on Computer Design,COMPDES,C
International Conference on Computational Plasticity,COMPLAS,A
Asia-Pacific Conference on Complex Systems,Complex,C
International Conference on Complexity Future Information Systems and Risk,COMPLEXIS,C
International Symposium on Computational Life Science,CompLife,B
International Computer Software and Applications Conference,COMPSAC,B
Australasian Compumod Users' Conference,COMPUMOD,A
International Conference on COMmunication Systems & NETworkS,COMSNETS,A
International Conference on Communication System Software and Middleware,COMSWARE,C
International Conference on Concurrency Theory,CONCUR,A
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A
International Conference on Information Resources Management,Conf-IRM,B
Conference on Computational Natural Language Learning,CoNLL,B
ConnectED: International Conference on Design Education,ConnectED,C
Conference on Algorithms and Hardware for Parallel Processing,CONPAR,C
International and Interdisciplinary Conference on Modelling and Using Context,CONTEXT,C
Construction Applications to Virtual Reality Conference,CONVR,C
International Conference on Cooperative Information Systems,CoopIS,B
International Conference on Coordination Models and Languages,Coordination,C
Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS,C
Conférence en Recherche d'information et Applications,CORIA,C
Conference on Robot Learning,CoRL,
International Conference on Computational Semiotics for Games and New Media,Cosign,C
Conference on Spatial Information Theory,COSIT,C
Complex Objects Visualization Workshop,COV,C
International Conference on Principles and Practice of Constraint Programming,CP,A
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B
Constraint Programming Day,CPD,C
Combinatorial Pattern Matching,CPM,B
Cooperative Research Centre for Construction Innovation International Conference,CRCCI,B
Construction Management and Real Estate International Symposium,CRIOCM,B
International Conference on Risks and Security of Internet and Systems,CRiSIS,C
International Workshop on Critical Information Infrastructures Security,CRITIS,C
Canadian Conference on Computer and Robot Vision,CRV,C
Cryptography Policy and Algorithms Conference,CryPAC,C
Advances in Cryptology,CRYPTO,A*
Crypto'Puces,Crypto'Puces,C
IEEE Computational Systems Bioinformatics Conference,CSB,A
ACM Annual Computer Science Conference,CSC,C
Computer Supported Collaborative Learning,CSCL,B
ACM Conference on Computer Supported Cooperative Work,CSCW,A
International Conference on Computer Supported Cooperative Work in Design,CSCWD,C
International Conference on Computer Supported Education,CSEDU,B
Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education CSEE changed in 1997),CSEET,C
IEEE Computer Security Foundations Symposium (was CSFW),CSF,A
IEEE Computer Security Foundations Workshop,CSFW,A
International CSI Computer Conference,CSICC,C
Computer Sciences and Information Technologies,CSIT,A
Annual Conference on Computer Science Logic,CSL,B
European Conference on Software Maintenance and Reengineering,CSMR,C
International Computer Science Symposium in Russia,CSR,A
Computer Science Research Conference,CSRC,C
Computational Topology Workshop,CT,C
Cryptographers Track at RSA Conference,CT-RSA,B
Computational Techniques and Applications Conference,CTAC,C
International Symposium on Collaborative Technologies and Systems,CTS,C
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,C
Cumulus - International Association of Universities and Colleges of Art Design and Media,CUMULUS,C
International Conference on Computers in Urban Planning and Urban Management,CUPUM,A
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*
International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,C
International Conference on Complex Systems,CxS,C
Design and Emotion Society Conferences,D&E,A
Discourse Anaphora and Anaphor Resolution Colloquium,DAARC,C
Design Automation Conf,DAC,A
Digital Arts and Culture,DAC,C
Digital Audio Effects Conference,DAFX,C
Discrete and Algorithmic Geometry,DAG,C
Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V,DAGM,B
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,C
Declarative Agent Languages and Technologies (merged into EMAS in 2013),DALT,B
International Workshop on Data Management on New Hardware,DaMoN,C
International Workshop on Document Analysis Systems,DAS,B
International Conference on Dependable Autonomic and Secure Computing,DASC,C
Symposium on Design Analysis and Simulation of Distributed Systems,DASD,C
International Conference on Database Systems for Advanced Applications,DASFAA,B
Data Semantics in Web Information Systems,DASWIS,C
International Conference on Data Science Technology and Applications,DATA,C
Design Automation and Test in Europe Conference,DATE,B
Design and Aesthetics in Visualisation,DAViz,C
Data Warehousing and Knowledge Discovery,DaWaK,B
International Baltic Conference on Databases and Information Systems,DB&IS,B
Durability of Building Materials and Components Conference,DBMC,C
Database Programming Languages,DBPL,B
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,B
International Conference on Dublin Core and Metadata Applications,DC,C
International Conference on Distributed Computing and Artificial Intelligence,DCAI,B
Data Compression Conference,DCC,B
Design Computing and Cognition,DCC,A
International Workshop on Developments in Computational Models,DCM,C
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,B
Distributed Communities on the Web Workshop,Dcw,C
International Workshop on Domain Driven Data Mining,DDDM,C
IEEE Information Theory Workshop on Detection Estimation Classification and Imaging,DECI,C
International Conference on Dependability of Computer Systems,DEPCoS,B
Developments in eSystems Engineering,DeSE,C
International Conference on Design Science Research in Information Systems and Technology,DESRIST,A
International Conference on Database and Expert Systems Applications,DEXA,C
International Conference on Distributed Frameworks for Multimedia Applications,DFMA,C
International Conference on Discrete Geometry for Computer Imagery,DGCI,C
International Conference on Digital Government Research,DGO,B
Dynamic Graph Workshop,DGW,C
