namecity,lat,lng,namecountry
Sattenapalle,16.3962,80.1497,India
Bobbili,18.5667,83.3667,India
Nasirabad,26.3000,74.7300,India
Gudalur,11.5014,76.4916,India
Vrindavan,27.5800,77.7000,India
Lunglei,22.8800,92.7300,India
Raxaul,26.9833,84.8500,India
Gangarampur,25.4000,88.5200,India
Talegaon Dabhade,18.7200,73.6800,India
Kharar,30.7400,76.6500,India
Nedumangad,8.6033,77.0028,India
Kandi,23.9595,88.0402,India
Anjangaon,21.1500,77.2800,India
Diglipur,13.2667,93.0000,India
Ajodhya,26.8036,82.2006,India
Kengri,12.9122,77.4827,India
Belampalli,19.0756,79.4881,India
Ropar,30.9664,76.5331,India
Periya Semur,11.3700,77.6908,India
Pithoragarh,29.5800,80.2200,India
Viramgam,23.1200,72.0300,India
Madhupur,24.2600,86.6500,India
Atchampeta,15.5412,78.9503,India
Bhongir,17.5100,78.8900,India
Namakkal,11.2167,78.1667,India
Ghatal,22.6700,87.7200,India
Harpanahalli,14.7877,75.9886,India
Mangrol,21.1200,70.1200,India
Ottappalam,10.7700,76.3800,India
Challakere,14.3120,76.6510,India
Polur,12.5000,79.1300,India
Puttur,13.4500,79.5500,India
Chonthrhu,32.4865,75.9941,India
Islampur,26.2700,88.2000,India
Punganuru,13.3667,78.5833,India
Nandod,21.8706,73.5028,India
Khurai,24.0437,78.3301,India
Kasaragod,12.5000,75.0000,India
Sohna,28.2500,77.0700,India
Tiruvalla,9.3856,76.5756,India
Samana,30.1500,76.1900,India
Sagar,14.1667,75.0333,India
Rahuri,19.3800,74.6500,India
Manjeri,11.1197,76.1310,India
Sidhi,24.4200,81.8800,India
Palmaner,13.2007,78.7468,India
Parvatipuram,18.7800,83.4250,India
Jalor,25.3500,72.6167,India
Kaliyaganj,25.6300,88.3200,India
Vikarabad,17.3300,77.9000,India
Manglaur,29.8000,77.8700,India
Daudnagar,25.0300,84.4000,India
Mansala,15.9417,77.4281,India
Umred,20.8500,79.3300,India
Baduria,22.7400,88.7900,India
Sultanganj,25.2460,86.7380,India
Dholka,22.7200,72.4700,India
Goalpara,26.1700,90.6200,India
Patancheruvu,17.5333,78.2645,India
Ashta,23.0175,76.7221,India
Tuni,17.3500,82.5500,India
Jaggayyapeta,16.8920,80.0976,India
Devakottai,9.9976,78.6862,India
Tilhar,27.9800,79.7300,India
Shahpur,16.7000,76.8300,India
Lakhminia,25.4126,86.3253,India
Puttur,12.7648,75.1842,India
Irinjalakuda,10.3514,76.2178,India
Mandi Dabwali,29.9477,74.7322,India
Venkatagiri,13.9667,79.5833,India
Jiaganj,24.2300,88.2700,India
Sihor,21.7000,71.9700,India
Jangaon,17.7227,79.1518,India
Koraput,18.8120,82.7105,India
Fatwa,25.5096,85.3050,India
Jiyyammavalasa,18.7900,83.6010,India
Sironj,24.1000,77.7000,India
Mandamari,18.9822,79.4811,India
Diu,20.7150,70.9844,India
Bikramganj,25.2107,84.2551,India
Phaltan,17.9800,74.4300,India
Khurda,20.1833,85.6167,India
Burla,21.5098,83.8726,India
Tundla,27.2000,78.2800,India
Gadarwara,22.9235,78.7849,India
Bar Bigha,25.2186,85.7332,India
Khattan,33.3700,75.5200,India
Zangareddigudem,17.1229,81.2953,India
Kalpi,26.1200,79.7300,India
Peranampattu,12.9387,78.7028,India
Metpalli,18.8492,78.6261,India
Anaiyur,9.9615,78.1118,India
Forbesganj,26.3000,87.2650,India
Jaspur,29.2833,78.8167,India
Bowringpet,12.9912,78.1780,India
Mandvi,22.8333,69.3556,India
Bhavani,11.4455,77.6821,India
Sidlaghatta,13.3900,77.8600,India
Kizhake Chalakudi,10.3000,76.3300,India
Marpalli,17.5389,77.7708,India
Rongat,12.4667,92.9333,India
Sibsagar,26.9800,94.6300,India
Laksar,29.7490,78.0240,India
Repalle,16.0172,80.8294,India
Chinnamanur,10.0412,77.1709,India
Kuchaiburi,22.2700,86.1700,India
Hilsa,25.3200,85.2800,India
Vyara,21.1200,73.4000,India
Padrauna,26.9000,83.9800,India
Pardwal,32.3286,76.1153,India
Naugachhia,25.4000,87.1000,India
Sujanpur,32.3127,75.6012,India
Peddapuram,17.0800,82.1300,India
Parasia,22.1913,78.7590,India
Biaora,23.9163,76.9112,India
Chatra,24.2045,84.8770,India
Bhadrachalam,17.6688,80.8936,India
Tammampatti,11.4381,78.4836,India
Sihora,23.4871,80.1040,India
Sojat,25.9200,73.6700,India
Bhainsa,19.1000,77.9667,India
Perambalur,11.2300,78.8800,India
Phalodi,27.1310,72.3640,India
Nohar,29.1800,74.7700,India
Kapadvanj,23.0200,73.0700,India
Majalgaon,19.1500,76.2333,India
Prattipadu,16.1878,80.3392,India
Sulleru,18.5333,83.2167,India
Godda,24.8270,87.2125,India
Kilvisharam,12.9143,79.2854,India
Bantval,12.8905,75.0349,India
Guntakal Junction,15.1200,77.6300,India
Jaggisettigudem,17.1167,81.3000,India
Gooty,15.1210,77.6340,India
Jasdan,22.0300,71.2000,India
Giddarbaha,30.2000,74.6700,India
Jalandhar Cantonment,31.2860,75.6150,India
Nangal Township,31.3850,76.3750,India
Gumia,23.8106,85.8232,India
Homnabad,17.7707,77.1252,India
Bokaro,23.7871,85.9564,India
Mangapet,18.2500,80.5200,India
Vite,17.2711,74.5378,India
Hoskote,13.0721,77.7892,India
Hojai,26.0028,92.8528,India
Sadaseopet,17.6203,77.9539,India
Lilh,32.6900,75.6600,India
Bhatkal,13.9853,74.5553,India
Joshimath,30.5550,79.5650,India
Pallipalaiyam,11.3679,77.7435,India
Mattanur,11.9310,75.5720,India
Dumka,24.4200,87.3400,India
Vuyyuru,16.3667,80.8500,India
Umarkhed,19.6000,77.7000,India
Vikramasingapuram,8.6700,77.3300,India
Manapparai,10.6075,78.4253,India
Punalur,9.0170,76.9260,India
Nandikotkur,15.8670,78.2670,India
Mela Gudalur,9.4405,77.1603,India
Bairagnia,26.7406,85.2733,India
Kampli,15.4063,76.6001,India
Selu,19.4551,76.4372,India
Padra,22.2300,73.0800,India
Garhwa,24.1100,83.8100,India
Obra,24.4200,82.9800,India
Nilambur,11.2769,76.2258,India
Aland,17.5642,76.5685,India
Thoubal,24.6300,94.0200,India
Anandpur,21.2141,86.1249,India
Manvi,15.9833,77.0500,India
Todupulai,9.8969,76.7113,India
Bhalki,18.0435,77.2060,India
Dhupgari,26.6000,89.0200,India
Nawashahr,31.1167,76.1333,India
Dharmaragar,24.3785,92.1783,India
Jangamguda,17.5092,78.5542,India
Jammalamadugu,14.8500,78.3800,India
Farrukhnagar,17.0778,78.2011,India
Nawai,26.3824,75.9240,India
Piro,25.3300,84.4200,India
Karuvambram,11.0271,76.1062,India
Kumta,14.4264,74.4122,India
Warud,21.4167,78.4000,India
Rajgarh,24.0300,76.8800,India
Rameswaram,9.2880,79.3130,India
Majurwa,26.1036,86.9193,India
Seohara,29.2200,78.5800,India
Arantangi,10.1686,78.9920,India
Nayudupet,13.9000,79.9000,India
Sainthia,23.9451,87.6803,India
Siyana,28.6269,78.0607,India
Charkhi Dadri,28.5900,76.2700,India
Dowlaiswaram,16.9506,81.7819,India
Barnagar,23.0489,75.3780,India
Angul,20.8381,85.0956,India
Sundargarh,22.1200,84.0300,India
Cheramkod,11.6000,76.3167,India
Guledagudda,16.0502,75.7900,India
Melur,10.0313,78.3381,India
Anekal,12.7105,77.6967,India
Nandigama,16.7833,80.3000,India
Ellenabad,29.4500,74.6500,India
Nidadavole,16.9200,81.6700,India
Rajaldesar,28.0300,74.4700,India
Medak,18.0460,78.2630,India
Dalli Rajhara,20.5800,81.0800,India
Jora,26.3421,77.8092,India
Barwah,22.2539,76.0385,India
Porsa,26.6700,78.3700,India
Ananipalle,13.6500,79.4200,India
Sihora,23.0000,80.1200,India
Raisen,23.3300,77.8000,India
Addanki,15.8110,79.9738,India
Nilothi,28.8167,76.8667,India
Janakammapeta,14.8840,79.9110,India
Wankaner,22.6161,70.9531,India
Barpeta,26.3200,91.0000,India
Rudauli,26.7500,81.7500,India
Jaito,30.4514,74.8919,India
Chikodi,16.4300,74.6000,India
Kayalpattanam,8.5638,78.1246,India
Mahbubabad,17.5973,80.0021,India
Kattivakkam,13.2167,80.3167,India
Barauli,26.3815,84.5872,India
Kharik,25.3679,87.0026,India
Barhiya,25.2833,86.0333,India
Ambasamudram,8.7037,77.4527,India
Dildarnagar,25.4309,83.6665,India
Yeola,20.0420,74.4890,India
Berubari,26.3603,88.7152,India
Muttayyapuram,8.7498,78.1311,India
Gurrampod,16.8667,79.1167,India
Pirthipur,25.1853,78.6650,India
Saoner,21.3858,78.9201,India
Shoranur,10.7700,76.2800,India
Surampatti,11.3411,77.6956,India
Akbarpur,26.5200,82.6200,India
Anakaputtur,12.9823,80.1282,India
Laungowal,30.2167,75.6833,India
Karmegh,26.5307,86.4263,India
Periyakulam,10.1200,77.5500,India
Jajpur,21.2140,86.1070,India
Limbdi,22.5685,71.7949,India
Majhaul,25.5570,86.1280,India
Karsiyang,26.8800,88.2800,India
Bhatpalli,18.4314,79.8605,India
Than,22.5667,71.1833,India
Nandura Buzurg,20.8333,76.4597,India
Nathdwara,24.9300,73.8200,India
Nalhati,24.3000,87.8200,India
Bilasipara,26.2328,90.2341,India
Pratapgarh,24.0300,74.7800,India
Narayanpet,16.7445,77.4960,India
Saidpur Dabra,25.3207,87.1793,India
Golaghat,26.5200,93.9700,India
Memari,23.2000,88.1200,India
Rajaori,33.3800,74.3100,India
Pamban,9.2790,79.2109,India
Dhamdaha,25.7435,87.1835,India
Sanand,22.9800,72.3800,India
Indi,17.1773,75.9526,India
Pileru,13.6549,78.9471,India
Buddh Gaya,24.6981,84.9869,India
Rajgir,25.0300,85.4200,India
Ramganj Mandi,24.6472,75.9444,India
Jayamkondacholapuram,11.2127,79.3637,India
Peddapalli,18.6162,79.3832,India
Naini Tal,29.3919,79.4542,India
Talcher,20.9500,85.2300,India
Palia Kalan,28.4500,80.5833,India
Agar,23.7118,76.0157,India
Patti,31.2800,74.8600,India
Sherghati,24.5700,84.7800,India
Vavveru,14.5594,79.8725,India
Kovvur,17.0170,81.7310,India
Pilani,28.3700,75.6000,India
Jogbani,26.4024,87.2656,India
Partapnagar,25.4145,87.0787,India
Krishnarajasagara,12.4398,76.3828,India
Tirukkoyilur,11.9500,79.2000,India
Nowgong,25.0574,79.4381,India
Kadur,13.5529,76.0116,India
Samalkha,29.2300,77.0200,India
Sabalgarh,26.2500,77.4000,India
Palampur,32.1097,76.5366,India
Jhabua,22.7677,74.5909,India
Kilakkarai,9.2314,78.7848,India
Pachrukha,26.7373,84.8861,India
Sivaganga,9.8433,78.4809,India
Channarayapatna,12.9000,76.3900,India
Vellakkovil,10.9300,77.7200,India
Islampur,25.1407,85.2059,India
Mailapur,13.0210,77.9380,India
Maihar,24.2620,80.7610,India
Murtajapur,20.7300,77.5100,India
Begamganj,23.5992,78.3406,India
Junnar,19.2000,73.8800,India
Hailakandi,24.6839,92.5610,India
Jale,26.3800,85.7200,India
Kunigal,13.0232,77.0252,India
Uttarkashi,30.7300,78.4500,India
Nawabganj,28.5400,79.6330,India
Sindgi,16.9200,76.2340,India
Basudebpur,21.1197,86.7290,India
Kalimpong,27.0600,88.4700,India
Revelganj,25.7800,84.6700,India
Idangansalai,11.6272,77.9890,India
Atmakur,15.8779,78.5884,India
Ayirapuram,9.8781,76.3039,India
Walajapet,12.9255,79.3652,India
Nurpur,29.1500,78.4000,India
Badepalli,16.7549,78.1443,India
Solan,30.9050,77.0970,India
Shankarpur Khawas,25.2016,87.1496,India
Khachrod,23.4232,75.2819,India
Rani,25.5564,85.9021,India
Charaut,26.5322,85.7942,India
Seram,17.1830,77.2830,India
Vetapalem,15.7800,80.3200,India
Taki,22.5900,88.9200,India
Sirohi,24.8850,72.8625,India
Pehowa,29.9800,76.5800,India
Betamcherla,15.4667,78.1667,India
Thakraha,26.7419,84.2562,India
Sikandra Rao,27.7000,78.4000,India
Amla,21.9248,78.1279,India
Penumur,13.3667,79.1833,India
Birmitrapur,22.4000,84.7667,India
Dwarka,22.2403,68.9686,India
Mehidpur,23.4888,75.6580,India
Kadiyam,16.9167,81.8333,India
Buchireddipalem,14.5380,79.8750,India
Khairtal,27.8346,76.6388,India
Huzurabad,18.2000,79.4200,India
Rajula,21.0500,71.4300,India
Mamun,32.2824,75.6983,India
Phulbani,20.4700,84.2300,India
Gomoh,23.8735,86.1516,India
Dubrajpur,23.8000,87.3800,India
Kakching,24.6085,94.0029,India
Jagdispur,25.4674,84.4204,India
Pathanamthitta,9.2648,76.7870,India
Goribidnur,13.6111,77.5167,India
Pen,18.7500,73.0800,India
Tasgaon,17.0300,74.6000,India
Bahadurganj,26.2617,87.8244,India
Cheyyar,12.6620,79.5435,India
Sitalkuchi,26.1697,89.1914,India
Dalkola,25.8758,87.8401,India
Coondapoor,13.6313,74.6902,India
Srinagar,30.2200,78.7800,India
Ichchapuram,19.1200,84.7000,India
Basavana Bagevadi,16.5728,75.9725,India
Thana Bhawan,29.5833,77.4167,India
Malavalli,12.3800,77.0800,India
Rawatbhata,24.9300,75.5800,India
Hatta,24.1341,79.6012,India
Sarangpur,23.5700,76.4700,India
Mahe,11.7011,75.5367,India
Lahar,26.1940,78.9414,India
Kanigiri,15.4000,79.5167,India
Morsi,21.3180,78.0095,India
Bindki,26.0300,80.6000,India
Ratia,29.6833,75.5750,India
Chanderi,24.7200,78.1300,India
Rafiganj,24.8200,84.6500,India
Gajendragarh,15.7363,75.9698,India
Pilibangan,29.4888,74.0748,India
Nakodar,31.1300,75.4700,India
Dinhata,26.1300,89.4700,India
Punarakh,25.4930,85.8054,India
Patamundai,20.5700,86.5700,India
Musiri,10.9333,78.4500,India
Zira,30.9700,74.9900,India
Karamadai,11.2428,76.9617,India
Pathri,19.2500,76.4500,India
Ariyalur,11.1333,79.0833,India
Tuensang,26.2716,94.8314,India
Robertsganj,24.7000,83.0700,India
Lakshmeshwar,15.1300,75.4700,India
Pihani,27.6199,80.2034,India
Sankaridrug,11.4800,77.8700,India
Purna,19.1800,77.0500,India
Huzurnagar,16.9000,79.8833,India
Maur,30.0833,75.2500,India
Kodaikanal,10.2300,77.4800,India
Shirdi,19.7700,74.4800,India
Sholinghur,13.1200,79.4200,India
Nargund,15.7200,75.3800,India
Kharagpur,25.1245,86.5558,India
Pakribarawan,24.9540,85.7376,India
Jalarpet,12.5703,78.5732,India
Kotma,23.2038,81.9790,India
Udhampur,32.9160,75.1419,India
Narsampet,17.9285,79.8925,India
Vempalle,14.3667,78.4667,India
Wai,17.9500,73.8900,India
Mahna,30.2280,74.9937,India
Medchal,17.6297,78.4814,India
Garhakota,23.7791,79.1432,India
Malpura,26.2800,75.3800,India
Wokha,26.1000,94.2700,India
Tarikere,13.7104,75.8122,India
Partur,19.5911,76.2161,India
Mokokchung,26.3200,94.5000,India
Kalakkadu,8.5138,77.5494,India
Shiggaon,14.9910,75.2230,India
Hole Narsipur,12.7863,76.2433,India
Chitapur,17.1201,77.0869,India
Savanur,14.9731,75.3328,India
Kita Chauhattar,25.6770,84.8720,India
Umarga,17.8400,76.6217,India
Surandai,8.9773,77.4206,India
Uravakonda,14.9500,77.2700,India
Baraidih,25.9798,86.1434,India
Zaidpur,26.8300,81.3300,India
Shiyali,11.2390,79.7360,India
Usilampatti,9.9700,77.8000,India
Guskhara,23.4928,87.7347,India
Karumattampatti,11.1093,77.1820,India
Yellandu,17.6000,80.3300,India
Giddalur,15.3784,78.9265,India
Muddebihal,16.3300,76.1300,India
Safidon,29.4200,76.6700,India
Vedaranniyam,10.3774,79.8495,India
Rawatsar,29.2800,74.3800,India
Vadigenhalli,13.2900,77.8000,India
Rudarpur,26.4293,83.6104,India
Lingsugur,16.1700,76.5200,India
Hirakud,21.5250,83.8727,India
Allagadda,15.1322,78.5138,India
Kulittalai,10.9357,78.4241,India
Manamadurai,9.6956,78.4564,India
Dhamnod,22.2093,75.4706,India
Gundlupet,11.8000,76.6800,India
Balarampur,26.2432,89.5863,India
Angamali,10.2000,76.4000,India
Vemalwada,18.4667,78.8833,India
Paithan,19.4800,75.3800,India
Kalaruch,34.5731,74.3210,India
Madhubani,26.5147,84.7645,India
Narsipatnam,17.6650,82.6140,India
Banda,24.0449,78.9609,India
Kasba,25.8564,87.5384,India
Madakalavaripalli,14.7475,79.0843,India
Ankola,14.6605,74.3047,India
Tiruvur,17.1000,80.6000,India
Degana,26.8951,74.3222,India
Hisua,24.8336,85.4173,India
Siripur,25.9970,86.9599,India
Risod,19.9700,76.7800,India
Belhi,26.5769,86.1723,India
Shamsabad,17.2603,78.3969,India
Zamania,25.4194,83.5569,India
Almora,29.5971,79.6591,India
Kallidaikurichi,8.6859,77.4659,India
Toda Bhim,26.9167,76.8167,India
Borne,25.5431,86.6999,India
Kokrajhar,26.4000,90.2700,India
Byadgi,14.6733,75.4868,India
Pulgaon,20.7260,78.3170,India
Annigeri,15.4251,75.4335,India
Chand Chaur,25.7276,85.7865,India
Shikarpur,28.2814,78.0108,India
Shamsabad,27.0200,78.1300,India
Vadavalli,11.0258,76.9038,India
Kondapalle,16.6167,80.5333,India
Dhekiajuli,26.7037,92.4781,India
Debagram,23.6833,88.2833,India
Bamaur,26.3390,78.1010,India
Tiruchendur,8.4946,78.1219,India
Bhawanipur Rajdham,25.6501,87.1396,India
Churi,23.6549,85.0128,India
Fatehpur Sikri,27.0911,77.6611,India
Jamikunta,18.2864,79.4761,India
Patratu,23.6700,85.2800,India
Darsi,15.7667,79.6833,India
Jhanjharpur,26.2647,86.2799,India
Makhdumpur,25.0720,84.9730,India
Kavundappadi,11.4248,77.5579,India
Arumuganeri,8.5717,78.0922,India
Nanjikkottai,10.7453,79.1289,India
Madikeri,12.4209,75.7397,India
Nautan Dube,26.7118,84.5030,India
Udaipur,23.5389,91.4917,India
Umaria,23.5247,80.8372,India
Sherpur,25.6539,84.9793,India
Kareli,22.9153,79.0638,India
Karkala,13.2000,74.9800,India
Hangal,14.7646,75.1246,India
Alamnagar,25.5610,86.9014,India
Kovur,14.4833,79.9833,India
Sanchor,24.7517,71.7762,India
Umarkot,19.6653,82.2063,India
Puraini,25.1426,86.9797,India
Rusera,25.7600,86.0300,India
Charthawal,29.5500,77.5833,India
Ketti,11.4000,76.7000,India
Erraguntla,14.6333,78.5333,India
Unchagao,16.6988,74.2749,India
Satana,20.5797,74.2160,India
Turaiyur,11.1686,78.6211,India
Manwat,19.3000,76.5000,India
Taranagar,28.6689,75.0406,India
Akividu,16.5823,81.3811,India
Sadabad,27.4500,78.0500,India
Sanha,25.4020,86.3592,India
Utraula,27.3200,82.4200,India
Naspur,18.8300,79.4500,India
Samdhin,27.1370,79.7030,India
Kalyandrug,14.5500,77.1000,India
Kolachel,8.1767,77.2591,India
Kangayam,11.0054,77.5620,India
Bijaynagar,25.9300,74.6386,India
Kukshi,22.2068,74.7579,India
Radhanpur,23.8300,71.6000,India
Narsinghgarh,23.7000,77.1000,India
Berasia,23.6146,77.4645,India
Mangur,17.9373,80.8185,India
Kottaikuppam,11.9613,79.8392,India
Tummapala,17.7166,82.9965,India
Pedana,16.2667,81.1667,India
Lumding,25.7500,93.1700,India
Kochugaon,26.5518,90.0762,India
Pandua,23.0800,88.2800,India
Lalgola,24.4200,88.2500,India
Tuljapur,18.0000,76.0800,India
Shikarpur,14.2700,75.3500,India
Rahimpur,25.4894,86.4774,India
Rahatgarh,23.7800,78.3700,India
Jamalpur,25.4112,86.6593,India
Sri Madhopur,27.4667,75.6000,India
Gadarpur,29.0437,79.2465,India
Tekkali,18.6057,84.2355,India
Deori Khas,23.3902,79.0163,India
Mussoorie,30.4500,78.0800,India
Titlagarh,20.3000,83.1500,India
Mahemdavad,22.8300,72.7700,India
Babura,25.6838,84.7825,India
Husainabad,24.5285,84.0000,India
Chinnalapatti,10.2875,77.9120,India
Riga,26.6553,85.4420,India
Periyanayakkanpalaiyam,11.1544,76.9499,India
Margram,24.1516,87.8442,India
Devanhalli,13.2300,77.7000,India
Podili,15.6040,79.6080,India
Shrigonda,18.6160,74.6980,India
Mansa,23.4300,72.6700,India
Palaiya Ayakkudi,10.4560,77.5595,India
Karera,25.4581,78.1358,India
Mainaguri,26.5640,88.8200,India
Malakanagiri,18.3500,81.9000,India
Puthupalli,9.5594,76.5722,India
Hadagalli,15.0200,75.9500,India
Kuttanallur,10.7069,79.5235,India
Egra,21.9000,87.5300,India
Taramangalam,11.7000,77.9800,India
Manavadar,21.5000,70.1300,India
Marar,25.5392,86.5074,India
Chengam,12.3112,78.7925,India
Bannur,12.3329,76.8620,India
Devarshola,11.5437,76.4404,India
Raghopur,26.1785,86.0892,India
Manawar,22.2300,75.0800,India
Uran,18.8900,72.9500,India
Leh,34.1642,77.5847,India
Rasra,25.8500,83.8500,India
Colgong,25.2633,87.2326,India
Sagwara,23.6681,74.0244,India
Tirwa,26.9633,79.7922,India
Kuttuparamba,11.8300,75.5800,India
Anjad,22.0417,75.0552,India
Chimakurti,15.5819,79.8680,India
Pokhram,25.9358,86.1974,India
Rehli,23.6300,79.0800,India
Shahpura,25.6300,74.9300,India
Kalpatta,11.6088,76.0814,India
Mahugaon,22.5748,75.7445,India
Koratgi,15.6081,76.6597,India
Kalappatti,11.0794,77.0371,India
Madhepur,26.1775,86.3783,India
Garaimari,24.0217,88.6263,India
Talwara,31.9376,75.8866,India
Jamtara,23.9500,86.8000,India
Mannargudi,11.2761,79.5520,India
Panakkudi,8.3492,77.5672,India
Magadi,12.9700,77.2300,India
Gudalur,11.1455,76.9366,India
Navapur,21.1700,73.7800,India
Salaya,22.3200,69.6000,India
Kotturu,14.8262,76.2259,India
Birur,13.5972,75.9717,India
Sottaiyampalaiyam,11.4053,77.6794,India
Krishnarajpet,12.6662,76.4877,India
Landhaura,29.8200,77.9300,India
Nattam,10.2249,78.2310,India
Mundi,22.0700,76.5000,India
Sheohar,26.5200,85.3000,India
Ibrahimpatnam,16.6056,80.3786,India
Devarkonda,16.6919,78.9207,India
Saho,25.9718,86.1537,India
Arda,32.3087,76.5772,India
Murliganj,25.9000,86.9800,India
Pattikonda,15.4000,77.5167,India
Alluru,15.1317,78.5131,India
Pardi,20.5200,72.9500,India
Nepanagar,21.4558,76.4494,India
Lakheri,25.6700,76.1700,India
Hosdurga,13.7963,76.2841,India
Nauhata,25.9971,86.4887,India
Vadakku Valliyur,8.3833,77.6500,India
Jamai,22.1964,78.5919,India
Chiknayakanhalli,13.4161,76.6206,India
Vattalkundu,10.1630,77.7580,India
Atmakur,14.6167,79.6167,India
Kottakota,13.6573,78.2625,India
Uttamapalaiyam,9.8000,77.3333,India
Mudbidri,12.9101,75.0030,India
Ladwa,29.9958,77.0400,India
Sonamukhi,23.3000,87.4200,India
Khunti,23.0140,85.2724,India
Mahendragarh,28.2800,76.1500,India
Udaipur,27.7289,75.4716,India
Nakrekal,17.1667,79.4333,India
Maddagiri,13.6600,77.2100,India
Brahmana Periya Agraharam,11.3690,77.7063,India
Kamalapuram,15.3044,76.4765,India
Parsa,26.0021,84.5979,India
Kailaras,26.3050,77.6160,India
Raikot,30.6500,75.6000,India
Amarpur,25.0397,86.9025,India
Deodrug,16.4167,76.9341,India
Patjirwa,26.8084,84.3847,India
Nalbari,26.4450,91.4400,India
Goriar,25.5513,87.2046,India
Kodumur,15.6833,77.7833,India
Pawayan,28.0667,80.1000,India
Narsimlapet,17.5100,79.8044,India
Nahan,30.5500,77.3000,India
Kudligi,14.9050,76.3853,India
Dhabauli,25.8346,86.8057,India
Tudiyalur,11.0816,76.9446,India
Dinanagar,32.1500,75.4667,India
Srungavarapukota,18.1167,83.1667,India
Kuzhittura,8.3165,77.2061,India
Bagha Purana,30.6881,75.0984,India
Shahpura,27.3897,75.9596,India
Nongstoin,25.5200,91.2700,India
Losal,27.4000,74.9200,India
Kalwakurti,16.6500,78.4800,India
Banswada,18.3833,77.8833,India
Malmal,26.4833,86.0500,India
Rajpur,22.3053,74.3525,India
Hajipur,31.9771,75.7544,India
Maharajpur,25.0194,79.7319,India
Matihani,25.3595,86.1826,India
Harur,12.0510,78.4827,India
Umargam,20.1700,72.7600,India
Pavugada,14.1000,77.2800,India
Bihpur,25.3889,86.9337,India
Tarana,23.3300,76.0300,India
Muvattupula,9.9798,76.5803,India
Gingee,12.2528,79.4173,India
Perumbalam,10.8000,76.1400,India
Raisinghnagar,29.5342,73.4477,India
Karanjia,21.7626,85.9732,India
Kotagiri,11.4167,76.8667,India
Ramanayyapeta,17.3203,82.1014,India
Maner,25.6500,84.8800,India
Padiyanallur,13.2004,80.1761,India
Tanguturu,15.3400,80.0390,India
Sangola,17.4378,75.1939,India
Barughutu,23.8038,85.5555,India
Areraj,26.5527,84.6726,India
Nainijor,25.6811,84.3456,India
Aron,24.3811,77.4174,India
Kushtagi,15.7562,76.1911,India
Vadnagar,23.7850,72.6400,India
Madhura,26.3388,87.1027,India
Ahmadabad,25.3019,87.7938,India
Khategaon,22.5957,76.9133,India
Varandarapilli,10.4167,76.3333,India
Charkhari,25.4000,79.7500,India
Pachor,23.7098,76.7339,India
Thatha,25.4988,86.5908,India
Sandur,15.1000,76.5500,India
Soron,27.8800,78.7500,India
Payakaraopeta,17.4161,82.6144,India
Penukonda,14.0847,77.5967,India
Mukher,18.7008,77.3628,India
Bandipura,34.4225,74.6375,India
Suluru,13.7000,80.0180,India
Ayyagarpet,17.2197,80.8339,India
Mankachar,25.5300,89.8700,India
Virakeralam,11.0077,76.9126,India
Shahganj,26.0560,82.6820,India
Manihari,25.3500,87.6300,India
Parimpudi,17.1171,81.4342,India
Shencottah,8.9733,77.2464,India
Jaynagar,26.5833,86.1500,India
Sadri,25.1800,73.4300,India
Malebennur,14.3537,75.7400,India
Bhander,25.7358,78.7456,India
Rasiari,26.0464,86.3471,India
Panchanandapur,24.9339,87.9761,India
Reoti,25.8500,84.3833,India
Silao,25.0836,85.4280,India
Digboi,27.3932,95.6184,India
Raver,21.2431,76.0333,India
Chettipalaiyam,11.1667,77.3350,India
Haliyal,15.3294,74.7633,India
Chintalapalle,15.0400,76.2000,India
Rampur,26.2126,87.2491,India
Bathnaha,26.6433,85.5747,India
Vadippatti,10.0843,77.9634,India
Bhuban,20.8820,85.8333,India
Madattukkulam,10.5587,77.3660,India
Afzalpur,17.2000,76.3500,India
Amangal,16.8499,78.5327,India
Rangia,26.4700,91.6300,India
Margherita,27.2800,95.6800,India
Nelliyalam,11.5255,76.3589,India
Mel Bhuvanagiri,11.4380,79.6328,India
Sadalgi,16.4200,74.5800,India
Bagepalli,13.7800,77.7900,India
Talaja,21.3500,72.0500,India
Jirwa,26.0064,86.8604,India
Bankapur,14.9230,75.2622,India
Suar,29.0270,79.0570,India
Kako,25.2259,85.0642,India
Bijbiara,33.7938,75.1070,India
Pamidi,14.9500,77.5833,India
Dasuya,31.8168,75.6531,India
Mandi,31.7200,76.9200,India
Srinivaspur,13.3378,78.2122,India
Chengannur,9.3200,76.6215,India
Kantabanji,20.4671,82.9204,India
Rajgarh,27.2360,76.6220,India
Wellington,11.3655,76.7844,India
Gilarchat,22.0703,88.4455,India
Lauri,25.1396,80.0011,India
Nadbai,27.2300,77.2000,India
Karumandi Chellipalaiyam,11.3019,77.5860,India
Mauganj,24.6800,81.8800,India
Bishunpur Sundar,26.0579,86.9833,India
Guruzala,16.5800,79.5700,India
Narasannapeta,18.4151,84.0447,India
Vadakkanandal,11.7739,78.8666,India
Tekkalakote,15.5348,76.8785,India
Hukeri,16.2300,74.6000,India
Manasa,24.4800,75.1500,India
Taloda,21.5607,74.2200,India
Kudachi,16.4800,74.7800,India
Dum Duma,27.5688,95.5566,India
Maski,15.9581,76.6569,India
Deogarh,21.5383,84.7334,India
Chintalapudi,17.0667,80.9833,India
Mangaldai,26.4300,92.0300,India
